chrom	length	bases	mean	min	max
chromosome1	230218	43344769	188.28	0	1214
chromosome1_region	230218	43344769	188.28	0	1214
chromosome2	813184	143661091	176.66	0	769
chromosome2_region	813184	143661091	176.66	0	769
chromosome3	316620	59843167	189.01	0	1486
chromosome3_region	316620	59843167	189.01	0	1486
chromosome4	1531933	221329891	144.48	0	1983
chromosome4_region	1531933	221329891	144.48	0	1983
chromosome5	576874	106780613	185.10	0	491
chromosome5_region	576874	106780613	185.10	0	491
chromosome6	270161	54133336	200.37	0	340
chromosome6_region	270161	54133336	200.37	0	340
chromosome7	1090940	174236227	159.71	0	852
chromosome7_region	1090940	174236227	159.71	0	852
chromosome8	562643	108324593	192.53	0	1026
chromosome8_region	562643	108324593	192.53	0	1026
chromosome9	439888	88449168	201.07	0	746
chromosome9_region	439888	88449168	201.07	0	746
chromosome10	745751	134731717	180.67	0	482
chromosome10_region	745751	134731717	180.67	0	482
chromosome11	666816	115027035	172.50	0	262
chromosome11_region	666816	115027035	172.50	0	262
chromosome12	1078177	219419248	203.51	0	6185
chromosome12_region	1078177	219419248	203.51	0	6185
chromosome13	924431	155091133	167.77	0	1103
chromosome13_region	924431	155091133	167.77	0	1103
chromosome14	784333	145217509	185.15	0	680
chromosome14_region	784333	145217509	185.15	0	680
chromosome15	1091291	176902735	162.10	0	596
chromosome15_region	1091291	176902735	162.10	0	596
chromosome16	948066	148943325	157.10	0	474
chromosome16_region	948066	148943325	157.10	0	474
total	12071326	2095435557	173.59	0	6185
total_region	12071326	2095435557	173.59	0	6185
