chrom	length	bases	mean	min	max
chromosome1	230218	32611981	141.66	0	340
chromosome1_region	230218	32611981	141.66	0	340
chromosome2	813184	96246160	118.36	0	427
chromosome2_region	813184	96246160	118.36	0	427
chromosome3	316620	42706584	134.88	0	635
chromosome3_region	316620	42706584	134.88	0	635
chromosome4	1531933	162547664	106.11	0	3167
chromosome4_region	1531933	162547664	106.11	0	3167
chromosome5	576874	68454358	118.66	0	318
chromosome5_region	576874	68454358	118.66	0	318
chromosome6	270161	35957857	133.10	0	206
chromosome6_region	270161	35957857	133.10	0	206
chromosome7	1090940	117238529	107.47	0	816
chromosome7_region	1090940	117238529	107.47	0	816
chromosome8	562643	69910219	124.25	0	550
chromosome8_region	562643	69910219	124.25	0	550
chromosome9	439888	56388482	128.19	0	257
chromosome9_region	439888	56388482	128.19	0	257
chromosome10	745751	85388417	114.50	0	331
chromosome10_region	745751	85388417	114.50	0	331
chromosome11	666816	75814333	113.70	0	202
chromosome11_region	666816	75814333	113.70	0	202
chromosome12	1078177	123252501	114.32	0	2868
chromosome12_region	1078177	123252501	114.32	0	2868
chromosome13	924431	103773239	112.26	0	569
chromosome13_region	924431	103773239	112.26	0	569
chromosome14	784333	94812747	120.88	0	636
chromosome14_region	784333	94812747	120.88	0	636
chromosome15	1091291	126801131	116.19	0	438
chromosome15_region	1091291	126801131	116.19	0	438
chromosome16	948066	104866201	110.61	0	345
chromosome16_region	948066	104866201	110.61	0	345
total	12071326	1396770403	115.71	0	3167
total_region	12071326	1396770403	115.71	0	3167
