StandardizedName	StrainName	Paper	SRA	Coverage	GeographicOrigin	EcoOrigin	Country	Continent	Comment	PositionOnTree	Clade	SuperClade	Ploidy	NbHetSNPs	Heterozygosity	Zygosity	Aneuploidy
AAA	RM11-1a	Peter et al. 2018	ERR1309487	217.5	California_USA	Wine	USA	North America		476.0	6. West Europe Wine	S1. Wine	1	17.0	1.81e-06	Homozygous	euploid
AAB	CBS422a	Peter et al. 2018	ERR1308784	205.91	Odessa_Ukraine	Beer	Ukraine	Europe		1331.0	12. Belgium Beer 1		1	163.0	1.74e-05	Homozygous	euploid
AAC	CBS2165a	Peter et al. 2018	ERR1309038	270.71	England	Beer	United Kingdom	Europe		1719.0	19. UK Beer	S2. Beer	2	17206.0	0.00183649	Heterozygous	euploid
AAD	CBS436a	Peter et al. 2018	ERR1308805	205.23	Japan	Sake	Japan	Asia		2470.0	29. Sake	S3. Asian Fermentation	2	65.0	6.94e-06	Homozygous	aneu;+1*8;
AAE	CBS2806a	Peter et al. 2018	ERR1309410	227.87	Slovakia	Wine	Slovakia	Europe		448.0	5. Georgian Wine	S1. Wine	1	8.0	8.54e-07	Homozygous	euploid
AAG	CBS428a	Peter et al. 2018	ERR1308974	212.53						2227.0			1	59.0	6.3e-06	Homozygous	aneu;+2*11;
AAH	CBS1388a	Peter et al. 2018	ERR1309088	264.18						1638.0			1	130.0	1.39e-05	Homozygous	euploid
AAI	CBS2966a	Peter et al. 2018	ERR1309457	242.7	Denmark	Distillery	Denmark	Europe		191.0	1. AU Wine 1	S1. Wine	1	9.0	9.61e-07	Homozygous	euploid
AAK	CBS4093a	Peter et al. 2018	ERR1308664	266.68	Spain	Wine	Spain	Europe		393.0	5. Georgian Wine	S1. Wine	1	7.0	7.47e-07	Homozygous	euploid
AAL	CBS1236-a	Peter et al. 2018	ERR1309297	188.19	France	Bakery	France	Europe		1772.0	20. Mixed Origins 1	S2. Beer	2	25614.0	0.00273392	Heterozygous	aneu;-1*6;
AAM	CLIB192_1b	Peter et al. 2018	ERR1308737	188.01	France	Bakery	France	Europe		1773.0	20. Mixed Origins 1	S2. Beer	1	95.0	1.01e-05	Homozygous	euploid
AAN	CLIB274_1	Peter et al. 2018	ERR1308608	188.91	Czech Republic	Bakery	Czech Republic	Czech Republic		1859.0	20. Mixed Origins 1	S2. Beer	2	27712.0	0.00295785	Heterozygous	aneu;-1*3;
AAP	CLIB326_1	Peter et al. 2018	ERR1309494	196.51	Australia	Bakery	Australia	Oceania		1854.0	20. Mixed Origins 1	S2. Beer	2	25057.0	0.00267446	Heterozygous	euploid
AAQ	CLIB272_2	Peter et al. 2018	ERR1309237	164.93	USA	Beer	USA	North America		1333.0	12. Belgium Beer 1		1	280.0	2.99e-05	Homozygous	euploid
AAR	CLIB382_1b	Peter et al. 2018	ERR1308657	215.96	Ireland	Beer	Ireland	Europe		1377.0	12. Belgium Beer 1		1	201.0	2.15e-05	Homozygous	euploid
AAS	YJM145_b	Peter et al. 2018	ERR1309268	177.06	USA	Human_clinical	USA	North America		2126.0	25. US Clinical 1		1	87.0	9.29e-06	Homozygous	euploid
AAT	YJM280_b	Peter et al. 2018	ERR1308747	200.89	USA	Human_clinical	USA	North America		2119.0	25. US Clinical 1		1	95.0	1.01e-05	Homozygous	aneu;+1*1;
AAV	YJM320b	Peter et al. 2018	ERR1309414	188.09	California_USA	Human_clinical	USA	North America		2140.0	25. US Clinical 1		1	119.0	1.27e-05	Homozygous	euploid
ABA	YJM326_b	Peter et al. 2018	ERR1308820	216.88	California_USA	Human_clinical	USA	North America		2132.0			1	194.0	2.07e-05	Homozygous	euploid
ABB	YJM413_b	Peter et al. 2018	ERR1308725	196.77	USA	Human_clinical	USA	North America		2562.0	30. Mantou	S3. Asian Fermentation	1	87.0	9.29e-06	Homozygous	euploid
ABC	YJM421_b	Peter et al. 2018	ERR1309192	204.43	USA	Human_clinical	USA	North America		2634.0	32. US Clinical 3		1	161.0	1.72e-05	Homozygous	euploid
ABD	YJM428_1b	Peter et al. 2018	ERR1309216	206.14	California_USA	Human_clinical	USA	North America		2180.0			2	100.0	1.07e-05	Homozygous	aneu;+2*16;
ABE	YJM434_1b	Peter et al. 2018	ERR1309094	196.82		Human_clinical				125.0	1. AU Wine 1	S1. Wine	1	9.0	9.61e-07	Homozygous	euploid
ABF	YJM436_1b	Peter et al. 2018	ERR1308756	183.13		Human_clinical				2295.0			1	126.0	1.34e-05	Homozygous	euploid
ABG	YJM440_1b	Peter et al. 2018	ERR1308928	177.41		Human_clinical				2113.0	25. US Clinical 1		1	110.0	1.17e-05	Homozygous	euploid
ABH	YJM454_1b	Peter et al. 2018	ERR1309451	182.62		Human_clinical				2213.0			1	83.0	8.86e-06	Homozygous	euploid
ABI	YJM653_1b	Peter et al. 2018	ERR1309242	208.24	USA	Human_clinical	USA	North America		2096.0	25. US Clinical 1		1	89.0	9.5e-06	Homozygous	euploid
ABK	YJM678_1b	Peter et al. 2018	ERR1309051	202.3		Human_clinical				2128.0	25. US Clinical 1		1	95.0	1.01e-05	Homozygous	euploid
ABL	CBS2888_1b	Peter et al. 2018	ERR1309450	294.93	South Africa	Soil	South Africa	Africa		2819.0	36. North American Wild	S4. Wild	1	53.0	5.66e-06	Homozygous	euploid
ABM	CBS3093_1b	Peter et al. 2018	ERR1309305	198.27	Spain	Industrial	Spain	Europe		307.0	3. Alpechin		1	283.0	3.02e-05	Homozygous	euploid
ABP	CECT10109_1b	Peter et al. 2018	ERR1309483	214.87	Spain	Fruit	Spain	Europe		683.0	7. AU Wine 3	S1. Wine	1	46.0	4.9100000000000004e-06	Homozygous	euploid
ABQ	DBVPG1788_1b	Peter et al. 2018	ERR1309108	202.47	Finland	Soil	Finland	Europe		30.0	1. AU Wine 1	S1. Wine	1	18.0	1.92e-06	Homozygous	euploid
ABR	DBVPG1794_1b	Peter et al. 2018	ERR1308614	189.0	Finland	Soil	Finland	Europe		29.0	1. AU Wine 1	S1. Wine	1	17.0	1.81e-06	Homozygous	euploid
ABS	DBVPG3591_1b	Peter et al. 2018	ERR1309033	297.09		Nature				533.0	6. West Europe Wine	S1. Wine	1	12.0	1.28e-06	Homozygous	euploid
ABT	DBVPG4651_1b	Peter et al. 2018	ERR1308686	209.22	Italy	Nature	Italy	Europe		672.0	7. AU Wine 3	S1. Wine	1	25.0	2.67e-06	Homozygous	euploid
ABV	DBVPG6861	Peter et al. 2018	ERR1308582	240.55	Tijuca forest_Rio de Janeiro_Brazil	Water	Brazil	South America		1844.0	20. Mixed Origins 1	S2. Beer	3	43462.0	0.00463892	Heterozygous	aneu;+1*1;+1*9;
ACA	EM93_3	Peter et al. 2018	ERR1309429	229.96	California_USA	Fruit	USA	North America		2060.0	24. Lab Strains		1	7.0	7.47e-07	Homozygous	euploid
