strain	ucm_code	seq_code	source	location	country	genocluster	sequencing	origin	Scaffolds	N50	Biosample	Bioproject
CBS10520	Lt007	LATH_AAB	tree	Europe	Russia	Europe/Domestic-2	batch_2	wild	1457	354673	SAMEA5078304	PRJEB29656
CBS10521	Lt008	LATH_AAC	tree	Europe	Finland	Europe/Domestic-2	batch_2	wild	1306	422561	SAMEA5078305	PRJEB29656
CBS137	Lt009	LATH_AAD	fruit	Europe	Netherland	Europe/Domestic-1	batch_2	anthropized	830	354457	SAMEA5078306	PRJEB29656
CBS1877	Lt010	LATH_AAE	grape	Europe	Italy	Europe/Domestic-1	batch_2	anthropized	1224	370863	SAMEA5078307	PRJEB29656
CBS2860	Lt011	LATH_AAF	grape	Europe	Italy	Europe/Domestic-1	batch_2	anthropized	1382	377850	SAMEA5078308	PRJEB29656
CBS5464	Lt014	LATH_AAH	plant	Australia	Australia	Europe-Mix	batch_2	wild	1605	347738	SAMEA5078311	PRJEB29656
CBS6340T	Lt036	LATH_AAI	mermelade	Europe	Russia	Europe/Domestic-1	batch_2	anthropized	874	322770	SAMEA5078312	PRJEB29656
CBS7772	Lt016	LATH_AAK	animal	South_America	Brazil	Americas	batch_2	wild	1483	382951	SAMEA5078314	PRJEB29656
MUCL31341	Lt032	LATH_AAL	grape	Europe	Italy	Europe/Domestic-2	batch_2	anthropized	1094	787717	SAMEA5078337	PRJEB29656
UWOPS 79-110	Lt044	LATH_AAN	tree	North_America	Canada, Ontario	Canada-trees	batch_2	wild	1885	433557	SAMEA5078340	PRJEB29656
UWOPS 79-117	Lt046	LATH_AAO	tree	North_America	Canada, Pinery	Europe-Mix	batch_2	wild	1759	264981	SAMEA5078342	PRJEB29656
UWOPS 79-162	Lt047	LATH_AAP	tree	North_America	Canada, Ontario	Europe-Mix	batch_2	wild	1720	333735	SAMEA5078343	PRJEB29656
UWOPS 79-248	Lt050	LATH_AAQ	tree	North_America	Canada, Ontario	Europe-Mix	batch_2	wild	1607	265100	SAMEA5078346	PRJEB29656
UWOPS 79-255	LATH_AAR	LATH_AAR	fruit	North_America	Canada, Ontario	Canada-trees	batch_2	wild	1783	265139	SAMEA5078347	PRJEB29656
UWOPS 80-19	LATH_AAS	LATH_AAS	plant	North_America	Canada, Ontario	Canada-trees	batch_2	wild	1776	284402	SAMEA5078348	PRJEB29656
UWOPS 81-125	LATH_AAT	LATH_AAT	tree	North_America	Canada, Ontario	Europe-Mix	batch_2	wild	1735	276564	SAMEA5078349	PRJEB29656
UWOPS 83-1097.1	Lt051	LATH_AAU	plant	North_America	Cayman Islands, Carman Brac	Americas	batch_2	wild	828	300472	SAMEA5078350	PRJEB29656
UWOPS 83-1101.1	Lt052	LATH_AAV	plant	North_America	Cayman Islands, Carman Brac	Americas	batch_2	wild	1183	361192	SAMEA5078351	PRJEB29656
UWOPS 85-51.1	Lt054	LATH_AAW	plant	North_America	USA, Florida	Americas	batch_2	wild	2497	326943	SAMEA5078353	PRJEB29656
UWOPS 85-312.1	Lt053	LATH_AAX	animal	North_America	USA, Arizona	Americas	batch_2	wild	1565	448246	SAMEA5078352	PRJEB29656
UWOPS 94-426.2	Lt058	LATH_AAY	fermented	North_America	Mexico, Jalisco	Europe/Domestic-1	batch_2	anthropized	1136	246654	SAMEA5078359	PRJEB29656
KEH.34.B.3	Lt031	LATH_AAZ	grape	North_America	USA, Missouri	Canada-trees	batch_2	anthropized	1958	313139	SAMEA5078328	PRJEB29656
DMKU-RK275	Lt028	LATH_ABA	plant	Asia	Thailand	Asia	batch_2	wild	1342	344520	SAMEA5078324	PRJEB29656
LM047	LATH_ABC	LATH_ABC	nature	Asia	Thailand	Asia	batch_2	wild	800	265206	SAMEA5078336	PRJEB29656
NRRL Y-27937	Lt033	LATH_ABD	animal	North_America	USA, Louisiania	Canada-trees	batch_2	wild	1893	276846	SAMEA5078339	PRJEB29656
NRRL Y-27911	Lt034	LATH_ABE	animal	North_America	USA, Louisiania	Canada-trees	batch_2	wild	1944	270655	SAMEA5078338	PRJEB29656
CBS2907	Lt012	LATH_ABF	soil	South_Africa	South_Africa	Europe/Domestic-2	batch_2	wild	1444	231212	SAMEA5078309	PRJEB29656
UWOPS 79-164	Lt048	LATH_ABH	tree	North_America	Canada, Ontario	Canada-trees	batch_2	wild	1829	265347	SAMEA5078344	PRJEB29656
UWOPS 90-10.1	Lt055	LATH_ABJ	plant	North_America	Bahamas	Americas	batch_2	wild	1519	223445	SAMEA5078354	PRJEB29656
UWOPS 90-1020.1	LATH_ABK	LATH_ABK	fruit	North_America	Bahamas	Americas	batch_2	anthropized	1557	231748	SAMEA5078355	PRJEB29656
UWOPS 91-902.1	LATH_ABL	LATH_ABL	plant	North_America	Hawaii	Europe-Mix	batch_2	wild	1596	216905	SAMEA5078356	PRJEB29656
UWOPS 91-910.1	Lt056	LATH_ABM	plant	North_America	Hawaii	Europe-Mix	batch_2	wild	1612	261965	SAMEA5078357	PRJEB29656
UWOPS 91-912.1	Lt057	LATH_ABN	plant	North_America	Hawaii	Europe-Mix	batch_2	wild	1520	195370	SAMEA5078358	PRJEB29656
IY 05-6-6-2-3-3	LATH_ABO	LATH_ABO	Insect	North_America	USA	Americas	batch_2	wild	1449	321614	SAMEA5078327	PRJEB29656
DBVPG 2551	Lt019	LATH_ABP	grape	Europe	Italy	Europe/Domestic-2	batch_2	anthropized	1132	239133	SAMEA5078315	PRJEB29656
DBVPG 2700	Lt020	LATH_ABQ	grape	Europe	Spain		batch_2	anthropized	1595	248880	SAMEA5078316	PRJEB29656
DBVPG 3418	Lt021	LATH_ABR	animal	Europe	Italy	Europe/Domestic-1	batch_2	wild	1086	354409	SAMEA5078317	PRJEB29656
DBVPG 3464	Lt022	LATH_ABS	grape	Europe	Spain	Europe/Domestic-1	batch_2	anthropized	1031	377158	SAMEA5078318	PRJEB29656
DBVPG 3466	Lt023	LATH_ABT	grape	Europe	Spain	Europe/Domestic-1	batch_2	anthropized	1106	265879	SAMEA5078319	PRJEB29656
DBVPG 3469	Lt024	LATH_ABU	grape	Europe	Spain	Europe-Mix	batch_2	anthropized	1469	247619	SAMEA5078320	PRJEB29656
DBVPG 4014	Lt025	LATH_ABV	soil	Europe	Italy	Europe/Domestic-1	batch_2	wild	1088	238425	SAMEA5078321	PRJEB29656
DBVPG 6867	Lt027	LATH_ABX	plant	South_America	Brazil	Americas	batch_2	wild	1545	255643	SAMEA5078323	PRJEB29656
Fin. 89-2	Lt030	LATH_ABY	tree	Europe	Finland	Europe/Domestic-2	batch_2	wild	1346	255670	SAMEA5078326	PRJEB29656
LL13-038	LATH_ACN	LATH_ACN	tree	North_America	USA, Massachussets	Europe-Mix	batch_2	wild	1734	265904	SAMEA5078334	PRJEB29656
LL13-171	LATH_ACQ	LATH_ACQ	tree	North_America	Canada	Canada-trees	batch_2	wild	1997	296372	SAMEA5078335	PRJEB29656
10-1489	Lt002	Lt002	grape	Europe	Černochov; Slovakia	Europe-Mix	batch_1	anthropized	617	1273747	SAMN41391136	PRJNA1111406
11-1808	Lt004	Lt004	ND	ND	ND	Europe-Mix	batch_1	anthropized	610	1272599	SAMN41391137	PRJNA1111406
11-1840	Lt005	Lt005	ND	ND	ND	Europe-Mix	batch_1	anthropized	613	951581	SAMN41391138	PRJNA1111406
CBS 4728	Lt013	Lt013	grape	Europe	Former Czechoslovakia	Europe-Mix	batch_1	anthropized	541	1271575	SAMN41391139	PRJNA1111406
CBS 6467	Lt015	Lt015	tree	Asia	Asia	Europe/Domestic-2	batch_1	wild	470	1087412	SAMN41391140	PRJNA1111406
CECT 1951	Lt017	Lt017	ND	ND	ND	Europe/Domestic-1	batch_1		246	1396040	SAMN41391141	PRJNA1111406
Concerto	Lt018	Lt018	ND	Europe	Spain	Europe/Domestic-1	batch_1		213	1346452	SAMN41391142	PRJNA1111406
DBVPG 4035	Lt026	Lt026	grape	Europe	Ex Yugoslavia	Europe/Domestic-1	batch_1	anthropized	412	1403582	SAMN41391143	PRJNA1111406
DMKU-RK361	Lt029	Lt029	plant	Asia	Thailand	Asia	batch_1	wild	366	378897	SAMN41391144	PRJNA1111406
PYCC 2908	Lt035	Lt035	animal	ND	ND		batch_1	wild	395	1333435	SAMN41391145	PRJNA1111406
PYCC 6375	Lt038	Lt038	soil	Europe	Arteixo, Galicia, Spain	Europe-Mix	batch_1	wild	515	1381520	SAMN41391146	PRJNA1111406
PYCC 6806	Lt039	Lt039	soil	Europe	Arrabida Park, Portugal	Europe/Domestic-2	batch_1	wild	508	1261608	SAMN41391147	PRJNA1111406
PYCC 6986	Lt040	Lt040	tree	Europe	Evolution canyon, Israel	Europe-Mix	batch_1	wild	535	1329105	SAMN41391148	PRJNA1111406
PYCC 7194	Lt041	Lt041	tree	Europe	Santarem, Portugal	Europe/Domestic-2	batch_1	wild	398	1398042	SAMN41391149	PRJNA1111406
PYCC 7205	Lt042	Lt042	tree	Europe	Alqueva, Portugal	Europe-Mix	batch_1	wild	662	987227	SAMN41391150	PRJNA1111406
PYCC 8789	Lt043	Lt043	tree	Europe	Alqueva, Portugal	Europe-Mix	batch_1	wild	677	1334828	SAMN41391151	PRJNA1111406
UWOPS 79-116	Lt045	Lt045	tree	North_America	Canada, Pinery	Canada-trees	batch_1	wild	427	1258216	SAMN41391152	PRJNA1111406
UWOPS 79-195	Lt049	Lt049	tree	North_America	Canada, Ontario	Canada-trees	batch_1	wild	634	1257285	SAMN41391153	PRJNA1111406
ISA 2380	Lt059	Lt059	fermented	ND	ND	Europe/Domestic-2	batch_1	anthropized	401	1335417	SAMN41391154	PRJNA1111406
ISA 2308	Lt060	Lt060	ND	ND	ND	Europe/Domestic-1	batch_1		374	1390091	SAMN41391155	PRJNA1111406
EVEGA-147	Lt068	Lt068	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	595	1020868	SAMN41391156	PRJNA1111406
EVEGA-190	Lt073	Lt073	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	572	1334444	SAMN41391157	PRJNA1111406
EVEGA-226	Lt074	Lt074	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	551	1335589	SAMN41391158	PRJNA1111406
