# TOR-pathway gene coordinates for the targeted lookup (original task step 6).
#
# STATUS: FULLY CONFIRMED 2026-08-09, including the TOR1 FRB sub-region. Whole-gene extents
# extracted directly from the GFF3 annotation shipped with GCF_000146045.2 (the exact S288c
# reference FASTA used for mapping/variant calling in this pipeline —
# reference/S288c_download/ncbi_dataset/data/GCF_000146045.2/genomic.gff), filtered on each
# gene's locus_tag, chromosome names cross-checked against that same release's FASTA headers.
# TOR1's FRB domain and key resistance-residue coordinates were derived from UniProt P35169
# (confirmed via gene_exact:TOR1+organism_id:559292 search) feature annotations, converted
# from protein-residue to genomic coordinates using the single-exon CDS
# (chrX:559416-566828, strand +, phase 0, confirmed no intron) via
# genomic_pos = 559416 + (residue-1)*3. Sanity check: CDS length 7413 bp = 2471 codons =
# 2470 aa protein + stop, matching TOR1's known length.
#
# This supersedes the earlier web-search-only draft, whose only two real errors were
# KOG1's strand (was "?", now confirmed "-") and TCO89's coordinates (were UNVERIFIED, now
# confirmed) -- every gene's chromosome assignment in the earlier draft turned out correct.
#
# Columns: standard_name, systematic_name, chromosome, start, end, strand, notes
standard_name	systematic_name	chromosome	start	end	strand	notes
FPR1	YNL135C	XIV	371882	372226	-	FKBP12; top candidate; check for LOF (nonsense/frameshift/start-loss)
TOR1	YJR066W	X	559416	566828	+	Whole gene (2470 aa CDS, single exon). See TOR1_FRB_domain and TOR1_S1972_hotspot rows below for the missense-screen sub-region and highest-priority residue.
TOR1_FRB_domain	YJR066W	X	564738	565886	+	UniProt P35169 "Region: Interaction with FKBP-rapamycin," protein residues 1775-2157. Prioritize missense variants anywhere in this sub-region.
TOR1_S1972_hotspot	YJR066W	X	565329	565331	+	Single codon, protein residue 1972. THE classic dominant rapamycin-resistance site in TOR1 (UniProt: S1972R = allele DRR1-1, S1972I = allele DRR1-27; both "confer resistance to rapamycin, abolish interaction with FKBP-rapamycin" -- DRR1 is TOR1's own gene_synonym in the GFF3). Highest-priority single position to inspect in the pileup once MBY4-vs-S288c calls exist, independent of whether the broader FRB-domain or gene-wide scan finds anything.
TOR1_epistatic_2276	YJR066W	X	566241	566243	+	UniProt: mutation here abolishes the rapamycin-resistance phenotype of S1972 mutants. Secondary/contextual position, not a resistance mutation on its own.
TOR1_epistatic_2294	YJR066W	X	566295	566297	+	Same as above (residue 2294).
TOR2	YKL203C	XI	55935	63359	-
KOG1	YHR186C	VIII	475999	480672	-	Strand confirmed from GFF3 (was unconfirmed "?" in the earlier web-search-only draft).
LST8	YNL006W	XIV	620067	620978	+
TCO89	YPL180W	XVI	205248	207647	+	Coordinates confirmed from GFF3 (were UNVERIFIED in the earlier web-search-only draft).
