contig	length	aligned_bases_Lachancea_thermotolerans	fraction_Lachancea_thermotolerans	aligned_bases_Torulaspora_delbrueckii	fraction_Torulaspora_delbrueckii	assigned
contig_40	1718157	1370366	0.798	5917	0.003	Lachancea_thermotolerans
contig_31	1641009	1308190	0.797	5981	0.004	Lachancea_thermotolerans
contig_46	1617880	1209332	0.747	5636	0.003	Lachancea_thermotolerans
contig_28	1507916	1208696	0.802	4510	0.003	Lachancea_thermotolerans
contig_4	1370703	6103	0.004	814393	0.594	Torulaspora_delbrueckii
contig_25	1290709	4323	0.003	800986	0.621	Torulaspora_delbrueckii
contig_3	1210917	5343	0.004	723904	0.598	Torulaspora_delbrueckii
contig_10	1153615	925957	0.803	23677	0.021	Lachancea_thermotolerans
contig_45	1071692	5178	0.005	644586	0.601	Torulaspora_delbrueckii
contig_22	1023581	790348	0.772	4385	0.004	Lachancea_thermotolerans
contig_35	971786	5051	0.005	600678	0.618	Torulaspora_delbrueckii
contig_36	949357	3483	0.004	597823	0.630	Torulaspora_delbrueckii
contig_34	924018	4033	0.004	546203	0.591	Torulaspora_delbrueckii
contig_12	909229	701201	0.771	2343	0.003	Lachancea_thermotolerans
contig_49	783700	4066	0.005	472607	0.603	Torulaspora_delbrueckii
contig_9	704089	537489	0.763	2412	0.003	Lachancea_thermotolerans
contig_6	469555	1592	0.003	275232	0.586	Torulaspora_delbrueckii
contig_21	276922	198546	0.717	1014	0.004	Lachancea_thermotolerans
contig_2	105983	125	0.001	47909	0.452	Torulaspora_delbrueckii
contig_43	43786	0	0.000	116	0.003	unassigned
contig_26	43456	10464	0.241	0	0.000	Lachancea_thermotolerans
contig_24	31518	0	0.000	10880	0.345	Torulaspora_delbrueckii
contig_44	26849	0	0.000	338	0.013	unassigned
contig_39	18507	2686	0.145	0	0.000	Lachancea_thermotolerans
contig_48	17482	8243	0.472	29379	1.681	Torulaspora_delbrueckii
contig_33	14031	0	0.000	0	0.000	unassigned
contig_23	10808	0	0.000	2098	0.194	Torulaspora_delbrueckii
contig_14	4847	985	0.203	0	0.000	Lachancea_thermotolerans
contig_13	4080	854	0.209	0	0.000	Lachancea_thermotolerans
contig_37	2593	264	0.102	0	0.000	Lachancea_thermotolerans
contig_16	764	2988	3.911	1125	1.473	Lachancea_thermotolerans
