#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chromosome1	1	230218	5431	224244	97.4051	123.393	35.5	41
chromosome2	1	813184	12165	810050	99.6146	119.248	35.7	57.3
chromosome3	1	316620	6762	315611	99.6813	131.399	35.5	50.7
chromosome4	1	1531933	21471	1520313	99.2415	104.14	35.7	56.2
chromosome5	1	576874	8037	574965	99.6691	113.857	35.8	57.2
chromosome6	1	270161	3966	254798	94.3134	124.05	35.8	56.6
chromosome7	1	1090940	16277	1083873	99.3522	106.66	35.8	52.6
chromosome8	1	562643	8733	556190	98.8531	115.468	35.7	55.8
chromosome9	1	439888	8109	437301	99.4119	131.197	35.8	48.1
chromosome10	1	745751	11257	736847	98.806	113.681	35.8	50.9
chromosome11	1	666816	8438	666336	99.928	110.284	35.8	59.2
chromosome12	1	1078177	28981	1049390	97.33	174.808	35.3	43.2
chromosome13	1	924431	13927	912612	98.7215	109.703	35.9	51.5
chromosome14	1	784333	11873	775845	98.9178	122.163	35.7	54.7
chromosome15	1	1091291	14621	1077170	98.706	112.722	35.8	58.7
chromosome16	1	948066	12701	931485	98.2511	110.081	35.7	57
