contig	length_bp	mean_depth	gc_fraction	bin_assignment	best_hit_reference
contig_40	1718157	42.0	0.4728	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_31	1641009	43.0	0.4735	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_46	1617880	42.0	0.4711	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_28	1507916	42.0	0.4724	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_4	1370703	10.0	0.4194	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_25	1290709	11.0	0.4209	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_3	1210917	11.0	0.4197	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_10	1153615	38.0	0.471	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_45	1071692	12.0	0.4185	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_22	1023581	44.0	0.4722	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_35	971786	10.0	0.4209	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_36	949357	10.0	0.4215	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_34	924018	12.0	0.4202	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_12	909229	45.0	0.4746	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_49	783700	11.0	0.422	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_9	704089	43.0	0.4714	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_6	469555	10.0	0.4192	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_21	276922	40.0	0.4685	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_2	105983	11.0	0.4257	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_43	43786	136.0	0.2441	unassigned	unassigned
contig_26	43456	92.0	0.4482	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_24	31518	12.0	0.4162	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_44	26849	164.0	0.2467	unassigned	unassigned
contig_39	18507	115.0	0.49	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_48	17482	134.0	0.4482	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_33	14031	529.0	0.2791	unassigned	unassigned
contig_23	10808	13.0	0.41	Torulaspora_delbrueckii	Torulaspora_delbrueckii
contig_14	4847	56.0	0.4947	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_13	4080	93.0	0.4966	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_37	2593	11.0	0.5688	Lachancea_thermotolerans	Lachancea_thermotolerans
contig_16	764	52.0	0.4869	Lachancea_thermotolerans	Lachancea_thermotolerans
