#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chromosome1	1	230218	6921	221518	96.221	188.277	39.4	49
chromosome2	1	813184	16638	800006	98.3795	176.665	39.5	59
chromosome3	1	316620	8444	314108	99.2066	189.006	39.3	55.4
chromosome4	1	1531933	27375	1498371	97.8092	144.478	39.6	53.5
chromosome5	1	576874	12833	565892	98.0963	185.102	39.5	58.4
chromosome6	1	270161	6384	264114	97.7617	200.374	39.5	58.9
chromosome7	1	1090940	20468	1067308	97.8338	159.712	39.6	57.5
chromosome8	1	562643	13599	550011	97.7549	192.528	39.5	55.1
chromosome9	1	439888	11553	438785	99.7493	201.072	39.4	52.3
chromosome10	1	745751	16098	733806	98.3983	180.666	39.5	54.8
chromosome11	1	666816	12565	664801	99.6978	172.502	39.5	59.8
chromosome12	1	1078177	29379	1032222	95.7377	203.509	39	48
chromosome13	1	924431	17959	902463	97.6236	167.769	39.5	56.5
chromosome14	1	784333	16801	775682	98.897	185.148	39.5	57.6
chromosome15	1	1091291	20281	1069936	98.0431	162.104	39.5	57.4
chromosome16	1	948066	16741	917352	96.7604	157.102	39.6	59.1
